genus,species,scientific_name_intepreted,catalogue_number,omit,institution,decimal_latitude_wgs84,decimal_longitude_wgs84,year,month,day,record_id,omit
Anilios,Anilios affinis,Anilios affinis,R3821.A,,South Australian Museum,-19.6,146.83,NA,NA,NA,027ad01d-e6c2-4efc-8711-e29c28396bda,
Anilios,Anilios affinis,Anilios affinis,R.12102,,Australian Museum,-23.083,148.016,NA,NA,NA,037f1b7e-5d20-4e7d-9c0a-aa5baaee8193,
Anilios,Anilios affinis,Anilios affinis,J44499,,Queensland Museum,-19.633333,145.783333,NA,NA,NA,0649e5a8-0ad5-4730-9dce-494e5b8a6edf,
Anilios,Anilios affinis,Anilios affinis,J93635,,Queensland Museum,-20.511389,146.867222,2014,9,10,091e8f9a-f25a-45f7-8c97-c6c3dfce5e7a,
Anilios,Anilios affinis,Anilios affinis,J81414,,Queensland Museum,-22.96524872,145.234205,2003,4,17,0952b151-bcbd-40d2-9d7a-1c5f8b917138,
Anilios,Anilios affinis,Anilios affinis,J92358,,Queensland Museum,-24.838056,147.636944,2012,12,1,0c96917b-332f-4db6-9551-d0c3e9e1cccb,
Anilios,Anilios affinis,Anilios affinis,J44504,,Queensland Museum,-20.333333,146.65,1981,8,18,0d0393d9-798f-42b8-a40b-b8c55cb4e796,
Anilios,Anilios affinis,Anilios affinis,J44893,,Queensland Museum,-20.516667,145.7,NA,NA,NA,0d50af85-573f-41c9-acd8-5e74df633b90,
Anilios,Anilios affinis,Anilios affinis,J44505,,Queensland Museum,-20.2,146.283333,1981,11,30,0f15e19c-f798-4d88-a526-ce1e5a50afb6,
Anilios,Anilios affinis,Anilios affinis,J81413,,Queensland Museum,-22.96524872,145.234205,2003,4,17,0f57fcde-6c9d-4744-9411-be40d020ce85,
Anilios,Anilios affinis,Anilios affinis,J11566,,Queensland Museum,-28.05,148.583333,NA,NA,NA,131d69bd-b456-416c-8791-b27e093a6aa4,
Anilios,Anilios affinis,Anilios affinis,J28797,,Queensland Museum,-23.55,145.45,1976,7,6,1a4efc77-e5f7-451b-bf3e-3677c5ac84a6,
Anilios,Anilios affinis,Anilios affinis,J82141,,Queensland Museum,-26.517778,149.700556,2005,1,17,1b567e15-ef69-487a-8f71-46408473ab9e,
Anilios,Anilios affinis,Anilios affinis,ABTC76955,,South Australian Museum,-23.6294,149.1997,2001,4,23,1ee14e20-aa6d-44c3-9bd9-aff918a72799,
Anilios,Anilios affinis,Anilios affinis,R.142984,,Australian Museum,-29.34305,146.23138,1993,10,18,20819cc7-59c3-498b-ba19-de03f0d9d14c,
Anilios,Anilios affinis,Anilios affinis,J68718,,Queensland Museum,-23.51522657,150.3341422,NA,NA,NA,22273ae6-6cd3-4573-ad23-d5cb1b04a51e,
Anilios,Anilios affinis,Anilios affinis,J61022,,Queensland Museum,-26.55,142.2,1996,1,4,2c21a959-b995-46be-bf2f-936907c6df3e,
Anilios,Anilios affinis,Anilios affinis,R55645,,South Australian Museum,-23.6294,149.1997,2001,4,23,311f4118-3cbf-408c-86ad-6d4251028d70,
Anilios,Anilios affinis,Anilios affinis,J73001,,Queensland Museum,-23.216667,148.847222,1999,2,4,3160566f-c4f6-4bc6-802d-2f03f124235f,
Anilios,Anilios affinis,Anilios affinis,R.178263,,Australian Museum,-23.716,149.666,1946,12,26,33058add-e533-4071-bdcc-0871b81e9303,
Anilios,Anilios affinis,Anilios affinis,J5400,,Queensland Museum,-26.4,146.25,NA,NA,NA,369545a2-a9d8-4487-9fd2-15bdd8084e21,
Anilios,Anilios affinis,Anilios affinis,J76269,,Queensland Museum,-19.75,147.8,2001,5,25,37e59b89-e39b-4825-adee-b640e55ff2d7,
Anilios,Anilios affinis,Anilios affinis,J36876,,Queensland Museum,-23.516667,148.166667,1975,4,1,3ea2696d-e122-44a5-ad5c-6a6a553c0582,
Anilios,Anilios affinis,Anilios affinis,J76661,,Queensland Museum,-19.316667,146.816667,2000,3,23,3ec6920f-943c-4dab-961a-dab7aa3d77f2,
Anilios,Anilios affinis,Anilios affinis,J44501,,Queensland Museum,-20.766667,146.166667,1981,2,3,451fa3e7-561e-4841-90d9-7fb213e836a9,
Anilios,Anilios affinis,Anilios affinis,J76610,,Queensland Museum,-25.021667,147.929167,1999,1,26,4a6f76c4-df58-4bfd-a552-047149c2784f,
Anilios,Anilios affinis,Anilios affinis,R.16759,,Australian Museum,-28.983,149,NA,NA,NA,4adeeeba-a5ac-4359-bf91-c185cb103117,
Anilios,Anilios affinis,Anilios affinis,J64586,,Queensland Museum,-23.516667,150.333333,1998,2,22,4b579cc8-4b27-4237-8254-b092d846b1cf,
Anilios,Anilios affinis,Anilios affinis,R3565,,South Australian Museum,-19.6,146.83,NA,NA,NA,4c79eb5d-3eab-41b1-9b71-d68d6b4245bd,
Anilios,Anilios affinis,Anilios affinis,J7380,,Queensland Museum,-19.358333,146.475,NA,NA,NA,4d144b19-ec9b-453d-9bed-e8ae3d21156d,
