"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"co153","Queensland Museum Amphibians and Reptiles","","Records provided by Queensland Museum Amphibians and Reptiles, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co153","","","","860"
"co274","Museums Victoria DNA Laboratory","","Records provided by Museums Victoria DNA Laboratory, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co274","","","","1"
"dp52","Questagame","","Records provided by Questagame, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp52","","","","33"
"dr1097","Victorian Biodiversity Atlas","10.15468/khlfs3","Data Source: 'Victorian Biodiversity Atlas', (c) The State of Victoria, Department of Environment, Land, Water & Planning (published [month, year]).","Creative Commons Attribution-Noncommercial (International) (CC-BY-NC 4.0 (Int)) Copyright in the data and materials resides with the copyright owners as indicated next to the detailed records. In any reproduction, distribution or publication of the data, or in any use or adaptation of the data to create derivative works, the user must include a citation which attributes the source of the data and the date the data was published, as follows: Data Source: 'Victorian Biodiversity Atlas', © The State of Victoria, Department of Environment and Primary Industries (published [month, year]).","For more information: https://collections.ala.org.au/public/show/dr1097","","","","808"
"dr8129","HerpMapper","10.15468/9tsf2l","HerpMapper. YEAR. HerpMapper - A Global Herp Atlas and Data Hub. Iowa, U.S.A. Available http://www.herpmapper.org. (Accessed: DD-MM-YYYY)","Creative Commons Attribution (International) (CC-BY 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr8129","Location data is generalized to the sub-state boundary, full resolution locations are available from HerpMapper upon request for conservation and research purposes.","As you may know, one of the things that sets HerpMapper apart from many other citizen-science database projects is that point-location data entered into HerpMapper are not shared publicly by HerpMapper. As such, HerpMapper Partners are discouraged from sharing point-location data publicly, even for common species, but HerpMapper acknowledges that in some cases this may be necessary to meet conservation and research objectives. HerpMapper encourages Partners to contact HerpMapper directly to discuss publication and sharing of these data to meet your needs while also best protecting herpetofauna populations. This also ensures that multiple organizations do not attempt to publish the same new and updated county records in Herpetological Review geographical distribution notes.","","13"
"dp3301","NatureMapr","","Records provided by NatureMapr, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp3301","","","","3"
"co117","Museums Victoria Herpetology Collection","","Records provided by Museums Victoria Herpetology Collection, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co117","","","","504"
"dr1132","WildNet - Queensland Wildlife Data","10.15468/lxgoyb","Queensland Government","Creative Commons Attribution (International) (CC-BY 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr1132","","","","299"
"dr344","Queensland Museum provider for OZCAM","10.15468/lotsye","Queensland Museum, http://www.qm.qld.gov.au/","CC-BY","For more information: https://collections.ala.org.au/public/show/dr344","","","","860"
"dr343","Northern Territory Museum and Art Gallery provider for OZCAM","10.15468/giro3a","Northern Territory Museum and Art Gallery, https://www.magnt.net.au/","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au))","For more information: https://collections.ala.org.au/public/show/dr343","","","","622"
