"species","decimalLongitude","decimalLatitude"
"Anilios affinis",146.83,-19.6
"Anilios affinis",148.016,-23.083
"Anilios affinis",145.783333,-19.633333
"Anilios affinis",146.867222,-20.511389
"Anilios affinis",145.234205008383,-22.9652487205726
"Anilios affinis",147.636944,-24.838056
"Anilios affinis",146.65,-20.333333
"Anilios affinis",145.7,-20.516667
"Anilios affinis",146.283333,-20.2
"Anilios affinis",145.234205008383,-22.9652487205726
"Anilios affinis",148.583333,-28.05
"Anilios affinis",145.45,-23.55
"Anilios affinis",149.700556,-26.517778
"Anilios affinis",149.1997,-23.6294
"Anilios affinis",146.23138,-29.34305
"Anilios affinis",150.334142231601,-23.5152265698386
"Anilios affinis",142.2,-26.55
"Anilios affinis",149.1997,-23.6294
"Anilios affinis",148.847222,-23.216667
"Anilios affinis",149.666,-23.716
"Anilios affinis",146.25,-26.4
"Anilios affinis",147.8,-19.75
"Anilios affinis",148.166667,-23.516667
"Anilios affinis",146.816667,-19.316667
"Anilios affinis",146.166667,-20.766667
"Anilios affinis",147.929167,-25.021667
"Anilios affinis",149,-28.983
"Anilios affinis",150.333333,-23.516667
"Anilios affinis",146.83,-19.6
"Anilios affinis",146.475,-19.358333
"Anilios affinis",150.383,-23.65
"Anilios affinis",146.266667,-20.083333
"Anilios affinis",148.869444,-23.191944
"Anilios affinis",147.899444,-22.715556
"Anilios affinis",148.319722,-22.011667
"Anilios affinis",151.116,-25.366
"Anilios affinis",146.455,-19.123889
"Anilios affinis",146.65,-20.333333
"Anilios affinis",147.786389,-21.158056
"Anilios affinis",151.616,-25.616
"Anilios affinis",143.326111,-24.135278
"Anilios affinis",145.4,-22.344722
"Anilios affinis",149.983333,-24.566667
"Anilios affinis",147.877778,-25.073056
"Anilios affinis",151.35081770796,-27.6985471772314
"Anilios affinis",148.166667,-23.516667
"Anilios affinis",148.319722,-22.011667
"Anilios affinis",115.77,-29.53
"Anilios affinis",146.55084174807,-19.5985852961395
"Anilios affinis",147.918056,-25.039444
"Anilios affinis",146.416667,-20
"Anilios affinis",152.863889,-27.696944
"Anilios affinis",147.785278,-21.147222
"Anilios affinis",146.733333,-19.533333
"Anilios affinis",150.333333,-23.516667
"Anilios affinis",145.65,-19.483333
"Anilios affinis",147.698333,-20.697778
"Anilios affinis",148.083,-24.116
"Anilios affinis",146.83,-19.6
"Anilios affinis",151.116,-25.366
"Anilios affinis",146.95,-19.416667
"Anilios affinis",152.883333,-27.566667
"Anilios affinis",148.1,-23.666667
"Anilios affinis",145.683,-28.066
"Anilios affinis",149.666,-23.716
"Anilios affinis",146.766667,-19.333333
"Anilios affinis",148.183333,-26.333333
"Anilios affinis",147.514722,-22.711111
"Anilios affinis",149.983333,-24.566667
"Anilios affinis",149.983333,-24.566667
"Anilios affinis",146.83,-19.6
"Anilios affinis",147.930895465138,-21.5478164457594
"Anilios affinis",150.8,-23.283333
"Anilios affinis",148.166667,-23.516667
"Anilios affinis",148.183333,-26.333333
"Anilios affinis",147.866111,-25.09
"Anilios affinis",145.366667,-22.816667
"Anilios affinis",146.783333,-19.4
"Anilios affinis",146.266,-29.1
"Anilios affinis",151.566667,-24.333333
"Anilios affinis",150.8,-23.283333
"Anilios ammodytes",119.024722,-22.221667
"Anilios ammodytes",119.022778,-22.299167
"Anilios ammodytes",117.849722,-20.949722
"Anilios ammodytes",119.09,-22.5
"Anilios ammodytes",119.006667,-22.414444
"Anilios ammodytes",119.026389,-22.259167
"Anilios ammodytes",120.893889,-20.739167
"Anilios ammodytes",118.98,-22.39
"Anilios ammodytes",119.251111,-22.971389
"Anilios ammodytes",119.022778,-22.299167
"Anilios ammodytes",115.436389,-22.255278
"Anilios ammodytes",119.99,-22.36
"Anilios ammodytes",115.490278,-22.255833
"Anilios ammodytes",117.748889,-22.808056
"Anilios ammodytes",120.071111,-21.4075
"Anilios ammodytes",116.461111,-22.74
"Anilios ammodytes",121.0875,-20.846667
"Anilios ammodytes",119.918611,-22.660833
"Anilios ammodytes",119.408333,-21.236667
"Anilios ammodytes",118.59,-20.47
"Anilios ammodytes",113.816667,-22.3
"Anilios ammodytes",118.68,-20.91
"Anilios ammodytes",120.1,-21.9
"Anilios ammodytes",119.291111,-22.349722
"Anilios ammodytes",115.566667,-20.65
"Anilios ammodytes",119.918611,-22.660833
"Anilios ammodytes",115.366944,-21.778889
"Anilios ammodytes",121.241667,-21.659444
"Anilios ammodytes",118.75,-21.06
"Anilios ammodytes",118.893056,-20.346389
"Anilios ammodytes",119.176667,-23.053611
"Anilios ammodytes",120.079444,-20.876667
"Anilios ammodytes",119.216667,-22.916667
"Anilios ammodytes",119.623611,-22.984722
"Anilios ammodytes",119.903611,-20.933611
"Anilios ammodytes",117.233333,-21.333333
"Anilios ammodytes",119.218889,-22.766667
"Anilios ammodytes",119.09,-22.5
"Anilios ammodytes",119.024722,-22.221667
"Anilios ammodytes",116.681389,-20.798611
"Anilios ammodytes",118.68,-20.91
"Anilios ammodytes",118.893056,-20.346389
"Anilios ammodytes",116.856667,-20.794444
"Anilios ammodytes",118.05,-20.516667
"Anilios ammodytes",119.216667,-22.666667
"Anilios ammodytes",115.790833,-23.079444
"Anilios ammodytes",120.769444,-21.3375
"Anilios ammodytes",119.516667,-20.466667
"Anilios ammodytes",116.465278,-21.951111
"Anilios ammodytes",116.491667,-21.633056
"Anilios ammodytes",117.858611,-20.869722
"Anilios ammodytes",119.263056,-22.786111
"Anilios ammodytes",115.416667,-20.783333
"Anilios ammodytes",117.748889,-22.808056
"Anilios ammodytes",116.866667,-20.383333
"Anilios ammodytes",119.918611,-22.660833
"Anilios ammodytes",116.5025,-21.873611
"Anilios ammodytes",116.805278,-20.560278
"Anilios ammodytes",119.908611,-20.390833
"Anilios ammodytes",118.61,-20.61
"Anilios ammodytes",118.961944,-21.609444
"Anilios ammodytes",119.006667,-22.414444
"Anilios ammodytes",119.840556,-22.675556
"Anilios ammodytes",115.8125,-23.044167
"Anilios ammodytes",119.730556,-22.409444
"Anilios ammodytes",115.790833,-23.079444
"Anilios ammodytes",118.998889,-22.395
"Anilios ammodytes",119.858056,-20.935278
"Anilios ammodytes",117.835556,-22.155556
"Anilios ammodytes",116.803889,-21.129722
"Anilios ammodytes",118.75,-21.06
"Anilios ammodytes",119.366667,-20.161944
"Anilios ammodytes",119.419722,-20.261389
"Anilios ammodytes",120.340556,-21.216389
"Anilios ammodytes",119.103056,-22.24
"Anilios ammodytes",119.24,-22.6
"Anilios ammodytes",120.536944,-20.817778
"Anilios ammodytes",116.975,-21.676944
"Anilios ammodytes",118.64,-20.54
"Anilios ammodytes",115.436389,-22.255278
"Anilios ammodytes",118.98,-22.39
"Anilios ammodytes",114.111111,-21.807778
"Anilios ammodytes",120.728889,-22.611111
"Anilios ammodytes",122.063889,-22.328889
"Anilios ammodytes",116.009722,-23.095833
"Anilios ammodytes",117.276111,-21.310278
"Anilios ammodytes",118.61,-20.61
"Anilios ammodytes",119.036389,-22.459167
"Anilios ammodytes",113.816667,-22.3
"Anilios ammodytes",118.61,-20.61
"Anilios ammodytes",116.625,-20.475
"Anilios ammodytes",118.995833,-21.953889
"Anilios ammodytes",120.155278,-21.677222
"Anilios ammodytes",120.090556,-21.479722
"Anilios ammodytes",116.8,-20.584722
"Anilios ammodytes",119.022778,-22.299167
"Anilios ammodytes",119.225,-22.804722
"Anilios ammodytes",119.218889,-22.766667
"Anilios ammodytes",120.15,-20.418333
"Anilios ammodytes",116.85,-20.783333
"Anilios ammodytes",119.541111,-21.438056
"Anilios ammodytes",120.131667,-21.951944
"Anilios ammodytes",118.75,-21.06
"Anilios ammodytes",120.131667,-20.412778
"Anilios ammodytes",119.026389,-22.259167
"Anilios ammodytes",119.775278,-22.389444
"Anilios ammodytes",116.192222,-20.911389
"Anilios ammodytes",116.465278,-21.951111
"Anilios ammodytes",116.299722,-21.818889
"Anilios ammodytes",116.818611,-20.538333
"Anilios ammodytes",117.801111,-23.339722
"Anilios ammodytes",120.678056,-22.518056
"Anilios ammodytes",119.99,-22.36
"Anilios ammodytes",116.944444,-20.851944
"Anilios ammodytes",115.196944,-21.710833
"Anilios ammodytes",119.026389,-22.259167
"Anilios ammodytes",120.585,-21.271389
"Anilios ammodytes",119.01,-22.346667
"Anilios ammodytes",120.678056,-22.518056
"Anilios ammodytes",120.737222,-22.700556
"Anilios ammodytes",120.893889,-20.739167
"Anilios ammodytes",115.790833,-23.079444
"Anilios ammodytes",119.99,-22.36
"Anilios ammodytes",120.376667,-20.766944
"Anilios ammodytes",120.893889,-20.739167
"Anilios ammodytes",120.140833,-20.415556
"Anilios ammodytes",118.683333,-20.516667
