A->A,A	B->B,B	C->C,C	D->D,D	F->F,F	H->H,H
1	16	0	9	2	0	0
2	17	0	7	1	0	0
3	14	0	9	2	0	0
4	16	0	5	0	0	0
5	15	0	4	3	0	0
6	15	0	8	2	0	0
7	12	0	7	1	0	0
8	17	0	7	2	0	0
9	16	0	9	2	0	0
10	15	0	6	2	0	0
11	13	0	7	0	0	0
12	15	0	7	2	0	0
13	15	0	8	2	0	0
14	14	0	10	0	0	0
15	14	0	7	0	0	0
16	16	0	7	2	0	0
17	16	0	9	0	0	0
18	14	0	7	0	0	0
19	16	0	3	5	0	0
20	12	0	9	0	0	0
21	15	0	8	2	0	0
22	15	0	9	2	0	2
23	15	0	8	2	0	0
24	14	0	8	2	1	0
25	13	0	10	0	0	0
26	13	0	8	1	0	0
27	14	0	6	2	0	0
28	16	0	9	0	0	0
29	16	0	8	2	0	0
30	13	0	6	2	1	0
31	13	0	10	0	0	0
32	14	1	5	1	0	0
33	14	0	8	1	0	0
34	14	0	8	2	0	0
35	14	0	8	0	0	0
36	14	0	6	2	0	0
37	14	0	11	2	0	0
38	14	0	6	2	0	0
39	17	0	9	0	0	0
40	15	0	9	0	0	0
41	17	0	4	5	0	0
42	15	0	10	2	0	0
43	15	0	7	2	0	0
44	15	0	10	0	0	0
45	14	0	9	0	0	0
46	15	0	9	1	0	0
47	13	0	10	0	0	0
48	14	0	9	0	0	0
49	14	0	5	2	0	0
50	17	0	8	2	0	0
