Models	Parameters	logL	AICc	Lambda	Alpha	Mu	Beta	AICcWt
BEnvVar_EXPO	2	-117.965671638439	240.274200419736	0.598697947221455	-0.195166546317297	NA	NA	0.275254124734292
BEnvVarDCST_EXPO	3	-115.862720071291	238.431322495524	1.32416479375195	-0.142554807299743	0.22712790587968	NA	0.691687125784844
BCSTDEnvVar_EXPO	3	-138.550271781921	283.806425916782	0.0654945193843219	NA	3.38681832319609e-08	0.0364504339467258	9.70132773782796e-11
BEnvVarDEnvVar_EXPO	4	-117.965674272282	245.143469756685	0.598484639109748	-0.195140978735716	3.56938509134576e-06	-0.105987124394476	0.0241204515443198
BEnvVar_LIN	2	-127.625724387843	259.594305918544	0.112311535593624	-0.00265965380955245	NA	NA	1.75560266614981e-05
BEnvVarDCST_LIN	3	-127.627532000378	261.960946353698	0.113350584786955	-0.00268400600455798	1.57751941965683e-06	NA	5.37671220417939e-06
BCSTDEnvVar_LIN	3	-128.781054179069	264.26799071108	0.340170589356054	NA	0.154129020799118	-0.0243334354190016	1.69647894481686e-06
BEnvVarDEnvVar_LIN	4	-118.961148609663	247.134418431447	0.55416655638797	-0.0105159607218449	0.0721189346698603	-0.0146411417718848	0.00891366734037455
BCST_DCST	2	-138.550236059848	281.443329262553	0.0655793879563679	-3.30421627304553e-08	NA	NA	3.16206719847477e-10
BCST_Yule	1	-138.5502323838	279.211575878712	0.0655859375	NA	NA	NA	9.65139710287381e-10
