Models	Parameters	logL	AICc	Lambda	Alpha	Mu	Beta	AICcWt
BEnvVar_EXPO	2	-117.87012818552	240.083113513896	10.9856600183787	-0.342047396533758	NA	NA	0.44552426347407
BEnvVarDCST_EXPO	3	-116.952127836241	240.610138025422	11.5166305075421	-0.240075888914393	0.276502937398286	NA	0.342317768430774
BCSTDEnvVar_EXPO	3	-138.550237530443	283.806357413827	0.0656055735509366	NA	1.16572090948917e-08	0.0355594848216264	1.42721559516085e-10
BEnvVarDEnvVar_EXPO	4	-116.192302359094	241.59672593031	3.80422215725406	-0.215629007036963	0.000286366527117923	0.202460800496727	0.209023252276247
BEnvVar_LIN	2	-126.875681063012	258.094219268882	0.170401391901133	-0.00586004826962395	NA	NA	5.46775995201542e-05
BEnvVarDCST_LIN	3	-126.875909595561	260.457701544063	0.170471632216441	-0.00586619404375479	5.36170211700628e-08	NA	1.67720359505492e-05
BCSTDEnvVar_LIN	3	-129.186028901579	265.077940156099	0.376451944789473	NA	0.694023552179152	-0.0561855907480791	1.66461466925975e-06
BEnvVarDEnvVar_LIN	4	-120.415810354556	250.043741921233	0.496435302855568	-0.015634838704362	0.521207920603307	0.037007784528633	0.0030615995410535
BCST_DCST	2	-138.550236059848	281.443329262553	0.0655793879563679	-3.30421627304553e-08	NA	NA	4.65173135879078e-10
BCST_Yule	1	-138.5502323838	279.211575878712	0.0655859375	NA	NA	NA	1.41982139346172e-09
