Models	Parameters	logL	AICc	Lambda	Alpha	Mu	Beta	AICcWt
BEnvVar_EXPO	2	-118.279846594043	240.902550330942	0.00454508799012379	0.441467036472284	NA	NA	0.385200679869265
BEnvVarDCST_EXPO	3	-118.279847989041	243.265578331023	0.00454248737887821	0.441555507878101	5.33730370341398e-07	NA	0.11818491153779
BCSTDEnvVar_EXPO	3	-131.599840446011	269.905563244964	0.0795717435611541	NA	2.04811236066792e-08	0.00195648291325531	1.93982615816135e-07
BEnvVarDEnvVar_EXPO	4	-118.279855532534	245.771832277189	0.00453117552316122	0.441878238851293	7.53051676531433e-07	-0.00532366055815742	0.0337548284333037
BEnvVar_LIN	2	-118.524447356393	241.391751855642	0.0668152134017369	0.0255053279200797	NA	NA	0.3016187137796
BEnvVarDCST_LIN	3	-118.525066626236	243.756015605413	0.0655890911264771	0.0252663249736385	1.34317621845008e-07	NA	0.0924836440372025
BCSTDEnvVar_LIN	3	-131.599839697829	269.9055617486	0.0795321770562618	NA	1.26073232505753e-08	2.42788264804796e-09	1.93982760950492e-07
BEnvVarDEnvVar_LIN	4	-117.568440126304	244.349001464729	0.0938380823680792	0.0351454012779192	0.10936121411951	0.0120393739618615	0.068754272358088
BCST_DCST	2	-131.599838380798	267.542533904454	0.0795577890161316	-9.20999595611674e-09	NA	NA	6.3224894449614e-07
BCST_Yule	1	-131.59983828629	265.310787683692	0.0795703125	NA	NA	NA	1.92977042971343e-06
