Models	Parameters	logL	AICc	Lambda	Alpha	Mu	Beta	AICcWt
BEnvVar_EXPO	2	-125.458639013783	255.260135170424	0.00261801384574866	0.462970073825189	NA	NA	0.0510775391929357
BEnvVarDCST_EXPO	3	-125.453887955054	257.61365826305	0.00261529464498437	0.474047325931005	0.00972634871356974	NA	0.0157459518705219
BCSTDEnvVar_EXPO	3	-138.550235486761	283.806353326463	0.0655746196533153	NA	2.11347968831663e-08	0.0291673377672859	3.23219425144937e-08
BEnvVarDEnvVar_EXPO	4	-124.555970725768	258.324062663657	0.00374122130470857	0.438597852500662	0.314772776445034	-0.599322634143065	0.0110384110939093
BEnvVar_LIN	2	-126.405647411527	257.154151965911	0.0597875009221503	0.0200903056215659	NA	NA	0.0198129637184442
BEnvVarDCST_LIN	3	-126.406193889122	259.518270131185	0.0596003778675959	0.0200857030452924	8.83351963848899e-09	NA	0.00607557949058449
BCSTDEnvVar_LIN	3	-138.550244588404	283.806371529749	0.0655876133568895	NA	1.36319730834245e-06	1.49782656663988e-07	3.23216483330506e-08
BEnvVarDEnvVar_LIN	4	-120.159133487049	249.53038818622	0.204252123398336	0.0991703159916212	0.728116569637529	-0.0525574628587015	0.896249063098936
BCST_DCST	2	-138.550236059848	281.443329262553	0.0655793879563679	-3.30421627304553e-08	NA	NA	1.05346863366754e-07
BCST_Yule	1	-138.5502323838	279.211575878712	0.0655859375	NA	NA	NA	3.21544213982917e-07
