Models	Parameters	logL	AICc	Lambda	Alpha	Mu	Beta	AICcWt
BEnvVar_EXPO	2	-127.23296140663	258.808779956116	33200.8500591924	-0.549691653123506	NA	NA	0.0011947297484659
BEnvVarDCST_EXPO	3	-131.487980787402	269.681843927745	0.107902862169844	-0.013148891908839	2.73379614377643e-08	NA	5.20252092334149e-06
BCSTDEnvVar_EXPO	3	-131.599841130301	269.905564613543	0.0795585703032776	NA	3.0109493578114e-08	0.00950414426385503	4.65193358623379e-06
BEnvVarDEnvVar_EXPO	4	-129.815913832396	268.843948876914	12.7897561787235	-0.216879199018514	0.011745778750062	-15.2394298033899	7.90970768897397e-06
BEnvVar_LIN	2	-120.505078134466	245.35301341179	5.49061151471864	-0.229518384862774	NA	NA	0.998049904987638
BEnvVarDCST_LIN	3	-131.468071741877	269.642025836695	0.107933549509599	-0.00124484428874433	2.0715864006846e-08	NA	5.30713608778071e-06
BCSTDEnvVar_LIN	3	-131.599860845639	269.905604044218	0.0794756875104614	NA	1.64949414374681e-06	-7.01615089160387e-08	4.65184187269712e-06
BEnvVarDEnvVar_LIN	4	-125.382412011233	259.976945234587	5.23699534697836	-0.217963785551127	5.59238296771285	0.23757209808596	0.000666201813320886
BCST_DCST	2	-131.599838380798	267.542533904454	0.0795577890161316	-9.20999595611674e-09	NA	NA	1.51620912008401e-05
BCST_Yule	1	-131.59983828629	265.310787683692	0.0795703125	NA	NA	NA	4.62782192152446e-05
