Models	Parameters	logL	AICc	Lambda	Alpha	Mu	Beta	AICcWt
BEnvVar_EXPO	2	-125.131758622742	254.606374388341	242986.031129463	-0.650345736652719	NA	NA	0.01531542293183
BEnvVarDCST_EXPO	3	-130.082308548523	266.870499449986	436.519939751375	-0.376963161645035	0.00359698781820115	NA	3.32665738176326e-05
BCSTDEnvVar_EXPO	3	-138.550235956021	283.806354264983	0.0655839896292267	NA	1.5334420484966e-08	0.0310141785877316	6.98930396227997e-09
BEnvVarDEnvVar_EXPO	4	-136.082492520145	281.37710625241	0.721699919762473	-0.106718169779166	3.11755511923406e-08	0.283928040120111	2.3547154411128e-08
BEnvVar_LIN	2	-121.254700517081	246.852258177019	3.20770998997357	-0.134050084501153	NA	NA	0.739458721480324
BEnvVarDCST_LIN	3	-121.254706966197	249.215296285335	3.20699384144374	-0.134019221490971	7.50692364123855e-08	NA	0.226875045809821
BCSTDEnvVar_LIN	3	-138.550233327489	283.80634900792	0.0655824577010159	NA	4.88962725258804e-07	-2.13194096958958e-08	6.98932233390967e-09
BEnvVarDEnvVar_LIN	4	-122.518134786003	254.248390784127	3.84290644088415	-0.160582230689575	1.87121866858329	0.0801713392655382	0.018317413367363
BCST_DCST	2	-138.550236059848	281.443329262553	0.0655793879563679	-3.30421627304553e-08	NA	NA	2.27802396074941e-08
BCST_Yule	1	-138.5502323838	279.211575878712	0.0655859375	NA	NA	NA	6.95308242204942e-08
