Models	Parameters	logL	AICc	Lambda	Alpha	Mu	Beta	AICcWt
BEnvVar_EXPO	2	-131.055588143842	266.454033430541	6.46657910569989	-0.158764176098181	NA	NA	0.244097795542309
BEnvVarDCST_EXPO	3	-131.05589738099	268.817677114921	6.07853764833187	-0.156543205805042	2.2805502532474e-08	NA	0.074869537901097
BCSTDEnvVar_EXPO	3	-131.599839560595	269.905561474131	0.0795690693176776	NA	1.44445400115124e-08	0.000312039839277389	0.0434584332853928
BEnvVarDEnvVar_EXPO	4	-131.055673715732	271.323468643586	6.33056314367428	-0.15801021767646	2.40115284679768e-07	-0.0535397499530122	0.0213884560566455
BEnvVar_LIN	2	-178.206733077213	360.756323297282	6.36324978679372	-0.225646432868984	NA	NA	8.1298362338021e-22
BEnvVarDCST_LIN	3	-150.625538902623	307.956960158188	6.09810466740071	-0.206688214279672	0.330449178662746	NA	2.37310976821153e-10
BCSTDEnvVar_LIN	3	-131.628978391237	269.963839135415	0.0799973102698618	NA	0.0213654212621457	-0.000782252365091211	0.0422103771128009
BEnvVarDEnvVar_LIN	4	-150.616238875244	310.444598962609	6.09583661778523	-0.206728400307097	0.305433563275605	0.000701263344897065	6.84122578775808e-11
BCST_DCST	2	-131.599838380798	267.542533904454	0.0795577890161316	-9.20999595611674e-09	NA	NA	0.1416442609064
BCST_Yule	1	-131.59983828629	265.310787683692	0.0795703125	NA	NA	NA	0.432331138889632
