Models	Parameters	logL	AICc	Lambda	Alpha	Mu	Beta	AICcWt
BEnvVar_EXPO	2	-132.974047972964	270.290953088786	8584.740306498	-0.429869015570371	NA	NA	0.18599976231494
BEnvVarDCST_EXPO	3	-134.328822421308	275.363527195556	75.5573234839475	-0.2573925331508	0.000218423060414542	NA	0.0147236985576612
BCSTDEnvVar_EXPO	3	-138.550235455976	283.806353264892	0.0655947947980062	NA	7.98402139916164e-09	0.0297010951075702	0.000216112820135026
BEnvVarDEnvVar_EXPO	4	-136.460010286158	282.132141784438	1.49756689239532	-0.116278750679903	0.00105356428262634	-0.0556477047504091	0.000499149837880817
BEnvVar_LIN	2	-131.683901156775	267.710659456407	1.0703253782017	-0.0362888015487323	NA	NA	0.675796646516423
BEnvVarDCST_LIN	3	-132.233954297171	271.173790947282	1.10329895883133	-0.0373764608864138	0.00643583056011307	NA	0.11962076736133
BCSTDEnvVar_LIN	3	-138.639341699503	283.984565751946	0.0665940325653019	NA	0.0461271820757934	-0.00169671662306723	0.000197688852616505
BEnvVarDEnvVar_LIN	4	-138.152538847612	285.517198907346	0.101654543299156	-0.00135459918962182	0.0204189340605344	-0.000751295076644247	9.18702968558278e-05
BCST_DCST	2	-138.550236059848	281.443329262553	0.0655793879563679	-3.30421627304553e-08	NA	NA	0.000704376199650486
BCST_Yule	1	-138.5502323838	279.211575878712	0.0655859375	NA	NA	NA	0.0021499272425074
