Models	Parameters	logL	AICc	Lambda	Alpha	Mu	Beta	AICcWt
BEnvVar_EXPO	2	-113.019804996538	230.382467135933	5827878.25768717	-1.13571443034665	NA	NA	0.605621793662367
BEnvVarDCST_EXPO	3	-117.980786039658	242.667454432258	1307.55300862181	-0.605991256175917	4.31675794947944e-05	NA	0.00130181837900726
BCSTDEnvVar_EXPO	3	-131.599839250842	269.905560854626	0.0795644658668824	NA	1.17530488442283e-08	0.0170274124591205	1.58442154833641e-09
BEnvVarDEnvVar_EXPO	4	-125.693403647528	260.598928507177	2.57608510216563	-0.212669628739092	2.28562998859503e-12	1.22197417717256	1.66257129148194e-07
BEnvVar_LIN	2	-115.560981846614	235.464820836086	1.28312769481437	-0.0736686207635972	NA	NA	0.0477070334254716
BEnvVarDCST_LIN	3	-113.362328740129	233.4305398332	2.12900946933263	-0.123911032800372	0.0481139555119259	NA	0.131923121459877
BCSTDEnvVar_LIN	3	-131.601042155024	269.90796666299	0.0801459361336599	NA	6.10663810038439e-06	4.02330318986415e-07	1.58251678688229e-09
BEnvVarDEnvVar_LIN	4	-111.628044576839	232.4682103658	5.65487626658043	-0.328904141230329	0.870863887007136	0.0349916808865696	0.213446042723036
BCST_DCST	2	-131.599838380798	267.542533904454	0.0795577890161316	-9.20999595611674e-09	NA	NA	5.164110454432e-09
BCST_Yule	1	-131.59983828629	265.310787683692	0.0795703125	NA	NA	NA	1.57620629302572e-08
