Models	Parameters	logL	AICc	Lambda	Alpha	Mu	Beta	AICcWt
BEnvVar_EXPO	2	-120.077845880486	244.498548903829	27695.3626128113	-0.825133054440144	NA	NA	0.684541874241283
BEnvVarDCST_EXPO	3	-126.148463405749	259.00280916444	150.332378239561	-0.477195963301403	0.0220802954234787	NA	0.000485109659026721
BCSTDEnvVar_EXPO	3	-138.550234253974	283.806350860889	0.0655796097490998	NA	1.05707892825427e-08	0.0343535365499108	1.99443219784741e-09
BEnvVarDEnvVar_EXPO	4	-119.526644242496	248.265409697112	66761.9610002335	-0.882414021269299	1477.79314690062	-39544.0470608543	0.104096611134569
BEnvVar_LIN	2	-122.045557364132	248.43397187112	0.888662185668947	-0.0523979187011719	NA	NA	0.0956827789647312
BEnvVarDCST_LIN	3	-120.719527901184	248.14493815531	1.09525472776334	-0.0640903171425986	0.0059036299530789	NA	0.110559649749793
BCSTDEnvVar_LIN	3	-138.550264322526	283.806410997993	0.0656558964738702	NA	1.39285950577967e-06	9.05536129963286e-08	1.99437222906074e-09
BEnvVarDEnvVar_LIN	4	-122.638554907874	254.489231027869	2.13246405149893	-0.121830817781253	3.01773609874291	0.193246506009919	0.00463394592042195
BCST_DCST	2	-138.550236059848	281.443329262553	0.0655793879563679	-3.30421627304553e-08	NA	NA	6.50044214172561e-09
BCST_Yule	1	-138.5502323838	279.211575878712	0.0655859375	NA	NA	NA	1.98409282650006e-08
