Models	Parameters	logL	AICc	Lambda	Alpha	Mu	Beta	AICcWt
BEnvVar_EXPO	2	-136.361418905856	277.065694954568	112.548127891103	-0.358528597178246	NA	NA	0.276650447081219
BEnvVarDCST_EXPO	3	-138.245275919068	283.196434191078	0.121978676218008	-0.0307612134796673	6.98696167269157e-09	NA	0.0129020365002138
BCSTDEnvVar_EXPO	3	-138.550235043328	283.806352439598	0.0655899002756601	NA	1.1641889204053e-08	0.0254570641117383	0.00951078143384534
BEnvVarDEnvVar_EXPO	4	-136.379055532705	281.97023227753	95.6489723722512	-0.35086403864865	0.541993208740637	-8.77702505718861	0.0238190605574458
BEnvVar_LIN	2	-135.985460667152	276.313778477161	0.684341240727154	-0.0295661185246748	NA	NA	0.402909924315777
BEnvVarDCST_LIN	3	-135.985466951782	278.676816256506	0.684690994711387	-0.029584202320903	2.26419854985459e-08	NA	0.123617748924557
BCSTDEnvVar_LIN	3	-138.550236690087	283.806355733114	0.0656050070469761	NA	2.92675110055682e-07	1.45505177342812e-08	0.00951076577190288
BEnvVarDEnvVar_LIN	4	-136.810901907825	282.833925027771	0.619146679950787	-0.0262762397093246	0.246486405450062	0.0120444745442733	0.0154659332273602
BCST_DCST	2	-138.550236059848	281.443329262553	0.0655793879563679	-3.30421627304553e-08	NA	NA	0.0309984632725715
BCST_Yule	1	-138.5502323838	279.211575878712	0.0655859375	NA	NA	NA	0.0946148389151081
