Models	Parameters	logL	AICc	Lambda	Alpha	Mu	Beta	AICcWt
BEnvVar_EXPO	2	-133.080135677888	270.503128498634	1.29142153755098e-05	0.813149458020817	NA	NA	0.374085973274073
BEnvVarDCST_EXPO	3	-133.107852669669	272.921587692278	5.91078302229167e-06	0.886214718160771	6.14247687987757e-08	NA	0.111637392183865
BCSTDEnvVar_EXPO	3	-138.550438041593	283.806758436128	0.0657801122862905	NA	1.6060148074746e-08	0.0380889093815194	0.000483197733640855
BEnvVarDEnvVar_EXPO	4	-133.115446590416	275.443014392953	2.95051875307838e-05	0.734996225487279	0.000156544576548199	-0.299903571060617	0.0316438146218594
BEnvVar_LIN	2	-133.172624008388	270.688105159633	0.224571236463764	0.0282257170402005	NA	NA	0.341039162101636
BEnvVarDCST_LIN	3	-133.179516446619	273.06491524618	0.230331891068743	0.0288827531488757	1.38041262702105e-09	NA	0.103916975964343
BCSTDEnvVar_LIN	3	-138.564975503413	283.835833359767	0.0682727257371972	NA	0.0585164469666812	-0.00541114783591276	0.000476224077482853
BEnvVarDEnvVar_LIN	4	-133.157715221164	275.52755165445	0.223376202338483	0.0281382293113933	0.00939849989596352	-0.000868598677512071	0.0303341478035172
BCST_DCST	2	-138.550236059848	281.443329262553	0.0655793879563679	-3.30421627304553e-08	NA	NA	0.00157520475043137
BCST_Yule	1	-138.5502323838	279.211575878712	0.0655859375	NA	NA	NA	0.00480790748915125
