Models	Parameters	logL	AICc	Lambda	Alpha	Mu	Beta	AICcWt
BEnvVar_EXPO	2	-127.365701640186	259.07426042323	0.000401487667582626	0.373839826204004	NA	NA	0.142411750728905
BEnvVarDCST_EXPO	3	-127.018967170015	260.743816692971	0.000394991742986589	0.436847180158058	0.141103739803631	NA	0.0618025348038796
BCSTDEnvVar_EXPO	3	-138.550579296067	283.807040945075	0.0658409845963101	NA	1.35340360791179e-08	0.0250446587785242	6.06583753361207e-07
BEnvVarDEnvVar_EXPO	4	-127.365702441902	263.943526095924	0.000401647658604966	0.373809314580761	3.60335995346586e-11	0.400558752328102	0.0124795297056614
BEnvVar_LIN	2	-126.353528121467	257.049913385792	0.258323678915888	0.0251330815757381	NA	NA	0.391856630141289
BEnvVarDCST_LIN	3	-126.405243999523	259.516370351988	0.63520126989954	0.0606653872769797	0.120935200474652	NA	0.11416760070496
BCSTDEnvVar_LIN	3	-138.550233803584	283.80634996011	0.0655825810432026	NA	3.43911448956198e-07	2.21953174330007e-08	6.06793359694618e-07
BEnvVarDEnvVar_LIN	4	-124.264790526828	257.741702265777	0.447900828074162	0.0467035025154945	0.633263757866869	-0.0402700803793469	0.277272726346752
BCST_DCST	2	-138.550236059848	281.443329262553	0.0655793879563679	-3.30421627304553e-08	NA	NA	1.97771744479867e-06
BCST_Yule	1	-138.5502323838	279.211575878712	0.0655859375	NA	NA	NA	6.03647399594795e-06
