taxon,state
Anilios_affinis,2
Anilios_ammodytes,1
Anilios_aspina,2
Anilios_australis,2
Anilios_bicolor,2
Anilios_bituberculatus,2
Anilios_broomi,2
Anilios_centralis,1
Anilios_diversus,2
Anilios_endoterus,1
Anilios_ganei,1
Anilios_grypusET,2
Anilios_grypusNW,2
Anilios_grypusW,1
Anilios_guentheri,2
Anilios_hamatus,2
Anilios_howi,2
Anilios_kimberleyensis,2
Anilios_leptosoma,2
Anilios_leucoproctus,2
Anilios_ligatus,2
Anilios_longissimus,2
Anilios_margaretae,1
Anilios_nigrescens,2
Anilios_obtusifrons,2
Anilios_pilbarensis,1
Anilios_pinguis,2
Anilios_proximus,2
Anilios_silvia,2
Anilios_systenos,2
Anilios_torresianus,2
Anilios_tovelli,2
Anilios_troglodytes,2
Anilios_unguirostris,2
Anilios_waitii,1
Anilios_wiedii,2
Anilios_yirrikalae,2
