Models,Parameters,logL,AICc,Speciation (lambda),Alpha,Extinction (mu),Beta,Paleoenvironent
BCST_DCST,2,-138.55,281.44,0.0656,0.00, , ,
BCST_Yule,1,-138.55,279.21,0.0656, , , ,
BCSTDEnvVar_EXPO,3,-138.55,283.81,0.0655, ,0.00,0.04,Arid Scotese
BCSTDEnvVar_EXPO,3,-138.55,283.81,0.0656, ,0.00,0.04,Arid Straume
BCSTDEnvVar_EXPO,3,-138.55,283.81,0.0656, ,0.00,0.03,Arid Valdes
BCSTDEnvVar_EXPO,3,-138.55,283.81,0.0656, ,0.00,0.03,Max temp Scotese
BCSTDEnvVar_EXPO,3,-138.55,283.81,0.0656, ,0.00,0.03,Max temp Straume
BCSTDEnvVar_EXPO,3,-138.55,283.81,0.0656, ,0.00,0.03,Max temp Valdes
BCSTDEnvVar_EXPO,3,-138.55,283.81,0.0656, ,0.00,0.03,Mean Temp Scotese
BCSTDEnvVar_EXPO,3,-138.55,283.81,0.0656, ,0.00,0.03,Mean Temp Straume
BCSTDEnvVar_EXPO,3,-138.55,283.81,0.0656, ,0.00,0.03,Mean Temp Valdes
BCSTDEnvVar_EXPO,3,-138.55,283.81,0.0658, ,0.00,0.04,Min Temp Sco
BCSTDEnvVar_EXPO,3,-138.55,283.81,0.0658, ,0.00,0.03,Min Temp Straume
BCSTDEnvVar_EXPO,3,-138.55,283.81,0.0655, ,0.00,0.04,Min Temp Valdes
BCSTDEnvVar_EXPO,3,-138.55,283.81,0.0656, ,0.00,0.03,RPANDA Global Temp
BCSTDEnvVar_LIN,3,-128.78,264.27,0.34, ,0.15,-0.02,Arid Scotese
BCSTDEnvVar_LIN,3,-129.19,265.08,0.376, ,0.69,-0.06,Arid Straume
BCSTDEnvVar_LIN,3,-138.55,283.81,0.0655, ,0.00,0.00,Arid Valdes
BCSTDEnvVar_LIN,3,-138.55,283.81,0.0656, ,0.00,0.00,Max temp Scotese
BCSTDEnvVar_LIN,3,-138.64,283.98,0.0666, ,0.05,0.00,Max temp Straume
BCSTDEnvVar_LIN,3,-138.55,283.81,0.0656, ,0.00,0.00,Max temp Valdes
BCSTDEnvVar_LIN,3,-138.55,283.81,0.0657, ,0.00,0.00,Mean Temp Scotese
BCSTDEnvVar_LIN,3,-138.55,283.81,0.0656, ,0.00,0.00,Mean Temp Straume
BCSTDEnvVar_LIN,3,-138.55,283.81,0.0656, ,0.00,0.00,Mean Temp Valdes
BCSTDEnvVar_LIN,3,-138.56,283.84,0.0683, ,0.06,-0.01,Min Temp Sco
