"","LnL","numparams","d","e","j","x","AICc","AICc_wt"
"DEC+J+X",-114.795830482822,4,1.22858483036944,0.130882638756147,0.0422891452380689,-1.26600886415157,238.702772076754,0.877868084709733
"DIVALIKE+J+X",-117.028534191386,4,1.44202642020996,0.126067521409008,0.0367827753592539,-1.20572595379922,243.168179493884,0.0941409030520712
"DEC+J",-119.933916051467,3,0.878279899705082,1e-12,0.0218202221321563,0,246.516480751583,0.0176483447961596
"BAYAREALIKE+J+X",-119.430098340985,4,1.18724997194255,0.537524313772413,0.0436431037303833,-1.84861556789356,247.971307793081,0.00852692222745258
"DIVALIKE+J",-122.541044273815,3,0.947582314865023,1e-12,0.0193327950266637,0,251.730737196279,0.00130149522601153
"DEC+X",-123.959538030022,3,1.48020437607356,0.848510406725068,0,-1.16817536064656,254.567724708693,0.000315063844787801
"DIVALIKE+X",-125.026441921872,3,1.647477094111,0.763128555091555,0,-0.882891387521284,256.701532492393,0.00010840469591371
"DEC",-126.635644697753,2,1.22451980292324,0.907962246229066,0,0,257.58707886919,6.96232260930704e-05
"DIVALIKE",-128.416967429977,2,1.34172178810069,0.841836536482979,0,0,261.149724333638,1.17256117484837e-05
"BAYAREALIKE+J",-127.46822618854,3,0.921099789292749,0.730755865751196,0.0177174219709472,0,261.585101025729,9.43180172636902e-06
"BAYAREALIKE",-138.071292497731,2,1.2361824433734,2.50227767722932,0,0,280.458374469147,7.52168958742341e-10
"BAYAREALIKE+X",-139.500081228903,3,0.954654202596469,1.86866120983235,0,-0.515662920788688,285.648811106455,5.6134054432259e-11
